iter	Accuracy	MultiClass
0	0.7734375	1.759023657
1	0.78125	1.717023734
2	0.7890625	1.695420765
3	0.7890625	1.668656965
4	0.7578125	1.643010379
5	0.7734375	1.617240526
6	0.7578125	1.585049008
7	0.7421875	1.561112727
8	0.765625	1.536887704
9	0.7890625	1.515900753
10	0.78125	1.493512665
11	0.734375	1.469801486
12	0.75	1.442011391
13	0.7578125	1.424154636
14	0.7578125	1.407724133
15	0.7421875	1.372882385
16	0.75	1.350707429
17	0.7890625	1.326771166
18	0.765625	1.305971875
19	0.7734375	1.286542152
20	0.7890625	1.270089334
21	0.7734375	1.250285326
22	0.7890625	1.231218125
23	0.7890625	1.213678791
24	0.8046875	1.197260291
25	0.8046875	1.176489646
26	0.8125	1.162056942
27	0.8125	1.141125
28	0.8203125	1.130639307
29	0.8046875	1.116833633
30	0.8203125	1.09770165
31	0.8125	1.084461949
32	0.8203125	1.07247335
33	0.8125	1.057720158
34	0.8203125	1.045208571
35	0.8203125	1.035205343
36	0.828125	1.023797725
37	0.8359375	1.012015705
38	0.828125	1.002664604
39	0.8359375	0.9895077756
